Company Name,Industry,SYMBOL,SERIES,ISIN
BHAGYANAGAR INDIA LIMITED,"Machinery, Equipment & Components",BHAGYNAGAR,EQ,INE458B01028
BHARAT GEARS LIMITED,Automobiles & Auto Parts,BHARATGEAR,EQ,INE561C01019
BHARATI DEFENCE AND INFRASTRUCTURE LIMITED,"Machinery, Equipment & Components",BHARATIDIL,EQ,INE673G01013
BHARAT RASAYAN LIMITED,Chemicals,BHARATRAS,EQ,INE838B01013
,,BHUSANSTL,EQ,INE824B01021
BHARTIYA INTERNATIONAL LIMITED,Textiles & Apparel,BIL,EQ,INE828A01016
BIL ENERGY SYSTEMS LIMITED,Electronic Equipment & Parts,BILENERGY,EQ,INE607L01029
,,BILPOWER,EQ,INE952D01018
,,BINANIIND,EQ,INE071A01013
,,BINDALAGRO,EQ,INE143A01010
BIRLA CORPORATION LIMITED,Construction Materials,BIRLACORPN,EQ,INE340A01012
,,BIRLACOT,EQ,INE655I01024
,,BIRLAERIC,BE,INE800A01015
ADITYA BIRLA MONEY LIMITED,Investment Banking & Investment Services,BIRLAMONEY,EQ,INE865C01022
BLB LIMITED,Investment Banking & Investment Services,BLBLIMITED,EQ,INE791A01024
BLISS GVS PHARMA LIMITED,Pharmaceuticals,BLISSGVS,EQ,INE416D01022
B L KASHYAP AND SONS LIMITED,Construction & Engineering,BLKASHYAP,BL,INE350H01032
B L KASHYAP AND SONS LIMITED,Construction & Engineering,BLKASHYAP,EQ,INE350H01032
BLUE BLENDS INDIA LIMITED,Textiles & Apparel,BLUEBLENDS,EQ,INE113O01014
BLUE CHIP INDIA LTD,Investment Banking & Investment Services,BLUECHIP,BE,INE657B01025
BLUE DART EXPRESS LIMITED,Freight & Logistics Services,BLUEDART,N1,INE233B08087
BLUE DART EXPRESS LIMITED,Freight & Logistics Services,BLUEDART,N2,INE233B08095
BLUE DART EXPRESS LIMITED,Freight & Logistics Services,BLUEDART,N3,INE233B08103
,,BLUESTINFO,EQ,INE504B01011
BODAL CHEMICALS LIMITED,Chemicals,BODALCHEM,EQ,INE338D01028
BOMBAY DYEING AND MFG. CO. LTD.,Textiles & Apparel,BOMDYEING,EQ,INE032A01023
BPL LIMITED,"Computers, Phones & Household Electronics",BPL,EQ,INE110A01019
BOMBAY RAYON FASHIONS LIMITED,Textiles & Apparel,BRFL,EQ,INE589G01011
BRITANNIA INDUSTRIES LTD,Food & Tobacco,BRITANNIA,EQ,INE216A01022
BROOKS LABORATORIES LIMITED,Pharmaceuticals,BROOKS,EQ,INE650L01011
,,BSELINFRA,EQ,INE395A01016
BSL LTD,Textiles & Apparel,BSL,EQ,INE594B01012
,,BSLGOLDETF,EQ,INF209K01HT2
,,BSLIMITED,EQ,INE043K01029
,,BSLNIFTY,EQ,INF209K01IR4
BURNPUR CEMENT LIMITED,Construction Materials,BURNPUR,EQ,INE817H01014
Butterfly Gandhimathi Appliances Limited,Household Goods,BUTTERFLY,EQ,INE295F01017
BARAK VALLEY CEMENTS LIMITED,Construction Materials,BVCL,EQ,INE139I01011
The Byke Hospitality Limited,Hotels & Entertainment Services,BYKE,EQ,INE319B01014
,,CAIRN,EQ,INE910H01017
CALIFORNIA SOFTWARE COMPANY LIMITED,Software & IT Services,CALSOFT,EQ,INE526B01014
CAMLIN FINE SCIENCES LIMITED,Chemicals,CAMLINFINE,EQ,INE052I01032
THE CANARA BANK LIMITED,Banking Services,CANBK,EQ,INE476A01014
C & C CONSTRUCTIONS LIMITED,Construction & Engineering,CANDC,EQ,INE874H01015
CAN FIN HOMES LIMITED,Banking Services,CANFINHOME,EQ,INE477A01012
CANTABIL RETAIL INDIA LIMITED,Textiles & Apparel,CANTABIL,EQ,INE068L01016
,,CAPF,EQ,INE688I01017
CAPLIN POINT LABORATORIES LIMITED,Pharmaceuticals,CAPLIPOINT,EQ,INE475E01018
,,CAREERP,EQ,INE521J01018
CARE RATINGS LIMITED,Professional & Commercial Services,CARERATING,EQ,INE752H01013
,,CASTEXTECH,EQ,INE068D01021
CONSOLIDATED CONSTRUCTION CONSORTIUM LIMITED,Construction & Engineering,CCCL,EQ,INE429I01024
COUNTRY CLUB HOSPITALITY & HOLIDAYS LIMITED,Hotels & Entertainment Services,CCHHL,EQ,INE652F01027
CELEBRITY FASHIONS LIMITED,Textiles & Apparel,CELEBRITY,EQ,INE185H01016
,,CELESTIAL,EQ,INE221I01017
CENTURY ENKA LIMITED,Textiles & Apparel,CENTENKA,EQ,INE485A01015
CENTURY EXTRUSIONS LTD,Metals & Mining,CENTEXT,EQ,INE281A01026
CENTUM ELECTRONICS LIMITED,"Machinery, Equipment & Components",CENTUM,EQ,INE320B01020
CENTURY PLYBOARDS (INDIA) LTD.,Paper & Forest Products,CENTURYPLY,EQ,INE348B01021
CERA SANITARYWARE LIMITED,Homebuilding & Construction Supplies,CERA,EQ,INE739E01017
CEREBRA INTEGRATED TECHNOLOGIES LIMITED,"Computers, Phones & Household Electronics",CEREBRAINT,EQ,INE345B01019
CESC LTD,Electrical Utilities & IPPs,CESC,EQ,INE486A01013
Capri Global Capital Limited,Banking Services,CGCL,EQ,INE180C01018
,,CHEMFALKAL,EQ,INE479E01028
CHOLAMANDALAM INVESTMENT AND FINANCE COMPANY LIMITED,Banking Services,CHOLAFIN,EQ,INE121A01016
,,CHROMATIC,EQ,INE662C01015
CIGNITI TECHNOLOGIES LIMITED,Software & IT Services,CIGNITITEC,EQ,INE675C01017
CIMMCO LIMITED,"Machinery, Equipment & Components",CIMMCO,EQ,INE184C01028
CINELINE INDIA LIMITED,Hotels & Entertainment Services,CINELINE,EQ,INE704H01022
CINEVISTA LIMITED,Media & Publishing,CINEVISTA,EQ,INE039B01026
,,CLNINDIA,EQ,INE492A01029
COFFEE DAY ENTERPRISES LIMITED,Hotels & Entertainment Services,COFFEEDAY,EQ,INE335K01011
COMPUCOM SOFTWARE LIMITED,Software & IT Services,COMPUSOFT,EQ,INE453B01029
CONTAINER CORPORATION OF INDIA LIMITED,Freight & Logistics Services,CONCOR,EQ,INE111A01017
CONSOLIDATED FINVEST & HOLDINGS LIMITED,Banking Services,CONSOFINVT,EQ,INE025A01027
CORDS CABLE INDUSTRIES LIMITED,"Machinery, Equipment & Components",CORDSCABLE,EQ,INE792I01017
,,CORPBANK,EQ,INE112A01023
,,COSMOFILMS,EQ,INE757A01017
COUNTRY CONDO'S LIMITED,Construction & Engineering,COUNCODOS,EQ,INE695B01025
,,COX&KINGS,EQ,INE008I01026
,,CPSEETF,EQ,INF457M01133
CREATIVE EYE LIMITED,Media & Publishing,CREATIVEYE,EQ,INE230B01021
CREST VENTURES LIMITED,Investment Banking & Investment Services,CREST,EQ,INE559D01011
CAMBRIDGE TECHNOLOGY ENTERPRISES LIMITED,Software & IT Services,CTE,EQ,INE627H01017
CUBEX TUBINGS LTD,Metals & Mining,CUBEXTUB,BE,INE144D01012
,,CURATECH,EQ,INE117B01012
CYBER MEDIA (INDIA) LIMITED,Media & Publishing,CYBERMEDIA,EQ,INE278G01037
CYBERTECH SYSTEMS AND SOFTWARE LIMITED,Software & IT Services,CYBERTECH,EQ,INE214A01019
,,DAAWAT,EQ,INE818H01012
,,DALMIABHA,EQ,INE439L01019
DALMIA BHARAT SUGAR AND INDUSTRIES LIMITED,Food & Tobacco,DALMIASUG,EQ,INE495A01022
Datamatics Global Services Limited,Software & IT Services,DATAMATICS,EQ,INE365B01017
D.B. CORP LIMITED,Media & Publishing,DBCORP,EQ,INE950I01011
VALOR ESTATE LIMITED,Real Estate Operations,DBREALTY,EQ,INE879I01012
DB (INTERNATIONAL) STOCK BROKERS LIMITED,Investment Banking & Investment Services,DBSTOCKBRO,EQ,INE921B01025
DCB BANK LIMITED,Banking Services,DCBBANK,EQ,INE503A01015
DCM LTD.,Metals & Mining,DCM,EQ,INE498A01018
D C W LIMITED,Chemicals,DCW,EQ,INE500A01029
DECCAN CEMENTS LTD,Construction Materials,DECCANCE,EQ,INE583C01013
,,DEEPIND,EQ,INE677H01012
DELTA CORP LIMITED,Hotels & Entertainment Services,DELTACORP,EQ,INE124G01033
DELTA MANUFACTURING LIMITED,"Machinery, Equipment & Components",DELTAMAGNT,EQ,INE393A01011
DEN NETWORKS LIMITED,Media & Publishing,DEN,EQ,INE947J01015
,,DENABANK,EQ,INE077A01010
DE NORA INDIA LIMITED,"Machinery, Equipment & Components",DENORA,EQ,INE244A01016
DHAMPUR SUGAR MILLS LIMITED,Food & Tobacco,DHAMPURSUG,EQ,INE041A01016
DHANLAXMI BANK LIMITED,Banking Services,DHANBANK,EQ,INE680A01011
DHANUKA AGRITECH LIMITED,Chemicals,DHANUKA,EQ,INE435G01025
DHARANI SUGARS AND CHEMICALS LIMITED,Food & Tobacco,DHARSUGAR,EQ,INE988C01014
,,DHFL,EQ,INE202B01012
DHUNSERI INVESTMENTS LIMITED,Chemicals,DHUNINV,EQ,INE320L01011
,,DIAPOWER,EQ,INE989C01012
DIC INDIA LIMITED,Chemicals,DICIND,EQ,INE303A01010
DISHMAN CARBOGEN AMCIS LIMITED,Pharmaceuticals,DISHMAN,EQ,INE353G01020
DISH TV INDIA LIMITED,Media & Publishing,DISHTV,EQ,INE836F01026
D-LINK (INDIA) LIMITED.,Communications & Networking,DLINKINDIA,EQ,INE250K01012
,,DOLPHINOFF,EQ,INE920A01011
DONEAR INDUSTRIES LIMITED,Textiles & Apparel,DONEAR,EQ,INE668D01028
,,DPL,EQ,INE477B01010
INDIA POWER CORPORATION LIMITED,Electrical Utilities & IPPs,DPSCLTD,EQ,INE360C01024
DQ ENTERTAINMENT (INTERNATIONAL) LIMITED,Media & Publishing,DQE,EQ,INE656K01010
DREDGING CORPORATION OF INDIA LIMITED,Transport Infrastructure,DREDGECORP,EQ,INE506A01018
DR.REDDY'S LABORATORIES LTD,Pharmaceuticals,DRREDDY,EQ,INE089A01023
D S KULKARNI DEVELOPERS LTD,Real Estate Operations,DSKULKARNI,EQ,INE891A01014
DHUNSERI TEA & INDUSTRIES LIMITED,Food & Tobacco,DTIL,EQ,INE341R01014
DWARIKESH SUGAR INDUSTRIES LIMITED,Food & Tobacco,DWARKESH,EQ,INE366A01033
DYNAMATIC TECHNOLOGIES LIMITED,Automobiles & Auto Parts,DYNAMATECH,EQ,INE221B01012
,,DYNATECH,EQ,INE741L01018
EASTERN SILK INDUSTRIES LIMITED,Textiles & Apparel,EASTSILK,EQ,INE962C01027
EASUN REYROLLE LIMITED,"Machinery, Equipment & Components",EASUNREYRL,EQ,INE268C01029
,,ECEIND,EQ,INE588B01014
,,ECLFINANCE,N1,INE804I07SG6
,,ECLFINANCE,N2,INE804I07SH4
,,ECLFINANCE,N3,INE804I07SI2
